OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,PropertyType,MlsStatus,ElementarySchool,ListAgentFirstName,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,DaysOnMarket,StreetNumberNumeric,LivingArea,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,Longitude,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,Latitude,ListPrice,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,ListAgentLastName,CloseDate,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,BuyerOfficeName,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,UnparsedAddress
1349000.0,1155870845,,,Lauren,Luczyski,34.132167,-118.178722,524 Glen Holly Drive,Residential,1550.0,1349000.0,0,COMPASS,,COMPASS,Lauren Luczyski,Cynthia,Luczyski,,,,,,,1155870845,647 - Pasadena (SW),,Los Angeles,Residential,Active,McKinley,Lauren,False,2.0,,SingleFamilyResidence,0.1553,,,1938,0,524,1550.0,P1-26426,2,Pasadena,,,2,2026-02-10,-118.178722,,,,2026-02-10,,,34.132167,1349000.0,CA,,,True,1,Blair,One,Luczyski,,,6767.0,,False,2.0,,91105,,,6767.0,,524 Glen Holly Drive
750000.0,1155868238,,,Jimmy,Rashid,34.276961,-118.535806,11348 Reseda B,Residential,1500.0,750000.0,0,Berkshire Hathaway HomeServices California Properties,,,Jimmy Rashid,,,,,,,,,1155868238,PORA - Porter Ranch,,Los Angeles,Residential,Active,,Jimmy,,2.0,,CoOwnership,0.1795,,,1965,0,11348,1500.0,SR26064531,3,Porter Ranch,,,3,2026-02-26,-118.535806,,,,2026-02-26,,,34.276961,750000.0,CA,,,False,2,,Two,Rashid,,,7821.0,1,False,0.0,Los Angeles Unified,91326,,0.0,7821.0,,11348 Reseda B
1200000.0,1155868139,,,Nasheen,Noor,33.885573,-118.229051,420 W Tichenor Street,Residential,2061.0,1200000.0,0,Keller Williams Realty,,,Nasheen Noor,,,,,,,,,1155868139,RPRK - Rancho Park,,Los Angeles,Residential,Active,,Nasheen,False,2.0,,SingleFamilyResidence,0.3846,,,1941,0,420,2061.0,OC26064540,2,Compton,,,3,2026-02-27,-118.229051,,,,2026-02-27,,,33.885573,1200000.0,CA,,,True,1,Compton,One,Noor,,,16755.0,3,False,2.0,Compton Unified,90220,,0.0,16755.0,,420 W Tichenor Street
1998000.0,1155866218,,,Debbie,Neugebauer,33.709956,-118.027534,17372 Forbes,Residential,2488.0,1998000.0,0,Seven Gables Real Estate,,Real Broker,Debbie Neugebauer,Qiwei,Nie,,,,,,,1155866218,15 - West Huntington Beach,,Orange,Residential,Active,,Debbie,True,2.0,,SingleFamilyResidence,0.1378,Calif. Classics By The Sea (CCBS),,1968,0,17372,2488.0,OC26061984,3,Huntington Beach,,,4,2026-02-21,-118.027534,,,,2026-02-21,,,33.709956,1998000.0,CA,,,False,2,,Two,Neugebauer,,,6004.0,1,False,2.0,Huntington Beach Union High,92649,,0.0,6004.0,,17372 Forbes
749000.0,1155864458,,,Kyler,Hamann,35.902397,-120.446186,70331 Vineyard Canyon Rd.,Residential,1724.0,749000.0,0,RE/MAX Parkside Real Estate,,,Kyler Hamann,,,,,,,,,1155864458,,,Monterey,Residential,Active,,Kyler,True,2.0,,SingleFamilyResidence,8.7,,,1995,0,70331,1724.0,NS26063904,2,Parkfield,,,4,2026-02-25,-120.446186,,,,2026-02-25,,,35.902397,749000.0,CA,,,True,1,,One,Hamann,,,8.7,4,False,2.0,Shandon Joint Unified,93451,,0.0,378972.0,,70331 Vineyard Canyon Rd.
1500000.0,1155861266,2026-03-24,1325000.0,Joe,Ghio,32.78079786,-117.25215655,811 Niantic Ct,Residential,816.0,1500000.0,0,Coldwell Banker West,OUT OF AREA,Coldwell Banker West,Joe Ghio,Valerie,Cites,IRECP,OUT OF,AREA,,,,1155861266,92109 - Pacific Beach,,San Diego,Residential,Closed,,Joe,,1.0,,SingleFamilyResidence,,Mission Beach,Mrmls,1925,0,811,816.0,260006932SD,2,San Diego,,,2,2026-03-24,-117.25215655,,,2026-03-02,2026-02-16,,,32.78079786,1500000.0,CA,,,False,1,,One,Ghio,2026-03-24,,,,False,0.0,,92109,OUT OF AREA,,,,811 Niantic Ct
14000.0,1155859617,2026-03-25,14000.0,Kimberly,Tucker,38.939488,-122.621034,16175 16175 23rd Ave,Land,,14000.0,0,Century 21 Epic,Century 21 Epic,,Kimberly Tucker,,,LCKTUCKER,Kimberly,Tucker,,,,1155859617,LCCLE - Clearlake  East,,Lake,Land,Closed,,Kimberly,,,,,0.11,,LakeCounty,,0,16175,,LC26040045,,Clearlake,,,,2026-03-25,-122.621034,,,2026-02-27,2026-02-20,,,38.939488,14000.0,CA,,,,,,,Tucker,2026-03-25,,4792.0,,False,,,95422,Century 21 Epic,0.0,4792.0,,16175 16175 23rd Ave
15000.0,1155858714,,,Nicole,Coutee,34.242061,-117.251654,0 Chateau,Land,,15000.0,0,KELLER WILLIAMS REALTY,,,Nicole Coutee,,,,,,,,,1155858714,286 - Crestline Area,,San Bernardino,Land,Active,,Nicole,,,,,0.1423,Crestline (CRES),,,0,0,,IG26051474,,Crestline,,,,2026-02-24,-117.251654,,,,2026-02-24,,,34.242061,15000.0,CA,,,,,,,Coutee,,32x150x90x110,6200.0,,False,,,92325,,0.0,6200.0,,0 Chateau
4100000.0,1155857709,2026-03-25,3890000.0,Tyler,Polan,33.030122,-117.284498,1526 Rubenstein Ave.,Residential,3123.0,4100000.0,0,Compass,Compass,,Tyler Polan,,,SAND-644990,Eric,Iantorno,,,,1155857709,92007 - Cardiff By The Sea,,San Diego,Residential,Closed,,Tyler,True,2.0,,SingleFamilyResidence,0.2365,,SanDiego,1986,0,1526,3123.0,NDP2602810,4,Cardiff By The Sea,,,4,2026-03-25,-117.284498,,Pilar,2026-02-23,2026-02-06,,,33.030122,4100000.0,CA,,,True,2,,Two,Polan,2026-03-25,,10300.0,1,,2.0,San Dieguito Union,92007,Compass,0.0,10300.0,,1526 Rubenstein Ave.
3398000.0,1155847850,,,Lucy,Li,33.691115,-117.753816,2 Conifer,Residential,3301.0,3398000.0,0,Alink Realty Group,,Alink Realty Group,Lucy Li,Qingming,Zeng,,,,,Monthly,,1155847850,WD - Woodbury,,Orange,Residential,Active,Woodbury,Lucy,True,8.0,,SingleFamilyResidence,0.1706,Mille Fleurs (WDMF),,2009,0,2,3301.0,OC26063551,5,Irvine,,,5,2026-02-22,-117.753816,,,,2026-02-22,,,33.691115,3398000.0,CA,,Jeffery Trail,True,2,Portola,Two,Li,,,7431.0,1,False,3.0,Irvine Unified,92620,,210.0,7431.0,,2 Conifer
1338800.0,1155838079,,,Alison,Burns,34.162872,-117.493617,5017 Mandala Avenue,Residential,3012.0,1338800.0,0,COMPASS,,,Alison Burns,,,,,,,,,1155838079,688 - Rancho Cucamonga,,San Bernardino,Residential,Active,,Alison,True,18.0,,SingleFamilyResidence,17200.0,,,1999,0,5017,3012.0,CV26035608,3,Rancho Cucamonga,,,4,2026-02-16,-117.493617,,,,2026-02-16,,,34.162872,1338800.0,CA,,,True,1,Etiwanda,One,Burns,,,17200.0,4,False,3.0,Chaffey Joint Union High,91739,,0.0,749232000.0,,5017 Mandala Avenue
750000.0,1155837776,,,Cynthia,Rorty,34.12434,-117.459491,7132 Niagara Drive,Residential,1948.0,750000.0,0,LPT Realty,,,Cynthia Rorty,,,,,,,,,1155837776,264 - Fontana,,San Bernardino,Residential,Active,,Cynthia,True,3.0,,SingleFamilyResidence,0.1607,,,1999,0,7132,1948.0,P1-26418,3,Fontana,,,5,2026-02-05,-117.459491,,,,2026-02-05,,,34.12434,750000.0,CA,,,False,2,,Two,Rorty,,,7000.0,,False,3.0,,92336,,,7000.0,,7132 Niagara Drive
849990.0,1155835292,,,Janette,Correa,34.196365,-118.580526,6947 Sunnybrae Avenue,Residential,1201.0,849990.0,0,Keller Williams Encino/Sherman Oaks,,,Janette Correa,,,,,,,,,1155835292,WIN - Winnetka,,Los Angeles,Residential,Active,,Janette,True,2.0,,SingleFamilyResidence,0.1855,,,1954,0,6947,1201.0,SR26064044,2,Winnetka,,,3,2026-02-28,-118.580526,,,,2026-02-28,,,34.196365,849990.0,CA,,,True,1,,One,Correa,,,8080.0,2,False,2.0,Los Angeles Unified,91306,,0.0,8080.0,,6947 Sunnybrae Avenue
593000.0,1155817751,,,Jennifer,Heflin,33.610627,-117.717842,4 Via Castilla D,Residential,1080.0,593000.0,0,Laguna Premier Realty Inc.,,,Jennifer Heflin,,,,,,,Monthly,,1155817751,LW - Laguna Woods,,Orange,Residential,Active,,Jennifer,,1.0,Rossmoor Corporation,StockCooperative,,Laguna Woods Village,,1964,0,4,1080.0,OC26064288,2,Laguna Woods,,,2,2026-02-05,-117.717842,,,,2026-02-05,,,33.610627,593000.0,CA,,,False,1,,One,Heflin,,,,2,False,0.0,Saddleback Valley Unified,92637,,826.78,,,4 Via Castilla D
599000.0,1155799855,,,Huaying,Wei,33.953634,-117.296288,11500 Wordsworth,Residential,1709.0,599000.0,0,"HomeSmart, Evergreen Realty",,,Huaying Wei,,,,,,,,,1155799855,259 - Moreno Valley,,Riverside,Residential,Active,Seneca,Huaying,True,2.0,,SingleFamilyResidence,0.18,,,1991,0,11500,1709.0,PW26062084,2,Moreno Valley,,,3,2026-02-21,-117.296288,,,,2026-02-21,,,33.953634,599000.0,CA,,Vista Heights,True,1,Canyon Springs,One,Wei,,,7841.0,3,False,2.0,Moreno Valley Unified,92557,,0.0,7841.0,,11500 Wordsworth
879000.0,1155799647,,,Katia,Fernandez,33.570217,-117.187778,40071 Via Espana,Residential,3284.0,879000.0,0,Equity Smart Real Estate Serv,,,Katia Fernandez,,,,,,,,,1155799647,699 - Not Defined,,Riverside,Residential,Active,Avaxat,Katia,True,3.0,Barrat,SingleFamilyResidence,0.2,,,1998,0,40071,3284.0,DW26062685,3,Murrieta,,,5,2026-02-11,-117.187778,,,,2026-02-11,,,33.570217,879000.0,CA,,Shivela,True,2,Murrieta,Two,Fernandez,,,8712.0,1,False,3.0,Murrieta,92562,,0.0,8712.0,,40071 Via Espana
625000.0,1155798857,2026-03-24,625000.0,Zachary,Svelling,32.613304,-116.684544,21044 Barrett Smith Road,Residential,864.0,625000.0,0,Fathom Realty Group,Fathom Realty Group,,Zachary Svelling,,,812687,Zachary,Svelling,,,,1155798857,91917 - Dulzura,,San Diego,Residential,Closed,,Zachary,,0.0,,SingleFamilyResidence,40.0,,PacificSouthwest,2009,0,21044,864.0,PTP2602247,1,Dulzura,,,2,2026-03-24,-116.684544,,,2026-02-11,2026-02-01,,,32.613304,625000.0,CA,,,False,1,,One,Svelling,2026-03-24,,1742400.0,2,,0.0,Jamul-Dulzara Union,91917,Fathom Realty Group,0.0,1742400.0,,21044 Barrett Smith Road
750000.0,1155797860,2026-03-24,750000.0,Nicole,Pompey,33.825067,-117.920285,718 S Citron Street,Residential,1118.0,750000.0,0,T.N.G. Real Estate Consultants,None MRML,T.N.G. Real Estate Consultants,Nicole Pompey,Alex,Tijerina,NONE,NONE,NONE,,,,1155797860,79 - Anaheim West of Harbor,,Orange,Residential,Closed,,Nicole,True,4.0,,SingleFamilyResidence,0.1419,Other,Mrmls,1950,0,718,1118.0,PW26064198,1,Anaheim,,,3,2026-03-24,-117.920285,,,2026-02-10,2026-02-10,,,33.825067,750000.0,CA,,Sycamore,True,1,Anaheim,One,Pompey,2026-03-24,,6180.0,3,False,2.0,Anaheim Union High,92805,None MRML,0.0,6180.0,,718 S Citron Street
1899000.0,1155797828,,,Michelle,Marier,32.801287,-117.2327335,2029 garnet,ResidentialIncome,,1899000.0,0,Rise Realty,,,Michelle Marier,,,,,,,,,1155797828,92109 - Pacific Beach,,San Diego,ResidentialIncome,Pending,,Michelle,,0.0,,,,Pacific Beach,,1980,0,2029,,260006896SD,0,San Diego,,,,2026-02-27,-117.2327335,,,2026-02-27,2026-02-12,,,32.801287,1899000.0,CA,,,,2,,Two,Marier,,,,,,,,92109,,0.0,,,2029 garnet
649000.0,1155797645,,,Charles,Andrews,33.756509,-116.308332,40262 Eastwood Lane,Residential,1941.0,649000.0,0,Keller Williams Realty,,,Charles Andrews,,,,,,,Monthly,,1155797645,324 - East Palm Desert,,Riverside,Residential,Active,,Charles,True,6.0,,SingleFamilyResidence,0.17,Whitehawk,,1990,0,40262,1941.0,219145339DA,3,Palm Desert,,,3,2026-02-24,-116.308332,,,,2026-02-24,,,33.756509,649000.0,CA,,,True,1,,One,Andrews,,,7405.0,,False,2.0,,92211,,200.0,7405.0,,40262 Eastwood Lane
350000.0,1155797003,,,Jerrad,Schendel,34.896835,-117.09365,0 St HWY 58,Land,,350000.0,0,Coldwell Banker Commercial Rea,,Coldwell Banker Commercial Rea,Jerrad Schendel,Robert,Basen,,,,,,,1155797003,BSTW - Barstow,,San Bernardino,Land,Active,,Jerrad,,,,,66.0,,,,0,0,,HD26043843,,Barstow,,,,2026-02-26,-117.09365,,,,2026-02-26,,,34.896835,350000.0,CA,,,,,,,Schendel,,,66.0,,False,,,92311,,0.0,2874960.0,,0 St HWY 58
5600.0,1155795436,,,ARIA,KARIMPOUR,33.948668,-117.331464,5625 Via Junipero Serra,ResidentialLease,2058.0,5600.0,0,SWISH REAL ESTATE,,,ARIA KARIMPOUR,,,,,,,,,1155795436,252 - Riverside,,Riverside,ResidentialLease,Active,,ARIA,True,3.0,,SingleFamilyResidence,0.32,,,1976,0,5625,2058.0,IV26064131,2,Riverside,,,3,2026-02-09,-117.331464,,,,2026-02-09,,,33.948668,5600.0,CA,,,False,1,,One,KARIMPOUR,,,13939.0,3,False,3.0,Riverside Unified,92506,,0.0,13939.0,,5625 Via Junipero Serra
435200.0,1155794985,,,Le'a,Hackler,33.994567,-116.978435,0 Mountain View,Land,,435200.0,0,Berkshire Hathaway Homeservices California Realty,,,Le'a Hackler,,,,,,,,,1155794985,263 - Banning/Beaumont/Cherry Valley,,Riverside,Land,Active,,Le'a,,,,,10.88,none,,,0,0,,IG26062879,,Beaumont,,,,2026-02-06,-116.978435,,,,2026-02-06,,,33.994567,435200.0,CA,,,,,,,Hackler,,,10.88,,False,,,92223,,0.0,473932.8,,0 Mountain View
750000.0,1155794880,,,Jimmy,Rashid,34.276961,-118.535806,11348 Reseda A,Residential,1500.0,750000.0,0,Berkshire Hathaway HomeServices California Properties,,,Jimmy Rashid,,,,,,,,,1155794880,PORA - Porter Ranch,,Los Angeles,Residential,Active,,Jimmy,,2.0,,CoOwnership,0.1795,,,1965,0,11348,1500.0,SR26063654,3,Porter Ranch,,,3,2026-02-26,-118.535806,,,,2026-02-26,,,34.276961,750000.0,CA,,,False,2,,Two,Rashid,,,7821.0,1,False,0.0,Los Angeles Unified,91326,,0.0,7821.0,,11348 Reseda A
850000.0,1155794618,,,Luiza,Husikyan,34.16711,-118.261125,1401 Valley View 206,Residential,1137.0,850000.0,0,Coldwell Banker Hallmark,,,Luiza Husikyan,,,,,,,Monthly,,1155794618,626 - Glendale-Northwest,,Los Angeles,Residential,Active,,Luiza,False,2.0,,Condominium,2.0996,,,1970,0,1401,1137.0,GD26051452,2,Glendale,,,2,2026-02-28,-118.261125,,,,2026-02-28,,,34.16711,850000.0,CA,,,True,1,,One,Husikyan,,,91460.0,2,False,2.0,Glendale Unified,91202,,427.0,91460.0,,1401 Valley View 206
850000.0,1155794237,,,Michelle,Nguyen,34.179243,-118.904658,1048 Larry Court,Residential,2339.0,850000.0,0,eXp Realty of California Inc,,eXp Realty of California Inc,Michelle Nguyen,,,,,,,Monthly,,1155794237,NBPK - Newbury Park,,Ventura,Residential,Active,,Michelle,True,2.0,,Townhouse,0.0537,Parkview Condos-187,,1997,0,1048,2339.0,V1-35373,3,Newbury Park,,,3,2026-02-13,-118.904658,,,,2026-02-13,,,34.179243,850000.0,CA,,,True,2,,Two,Nguyen,,,2339.0,,,2.0,,91320,,750.0,2339.0,,1048 Larry Court
575000.0,1155792445,,,Allison,Gabski,39.980575,-122.137495,24065 Maria Road,Residential,1586.0,575000.0,1,Platinum Partners Real Estate,,Platinum Partners Real Estate,Allison Gabski,Lisa,Bristow,,,,,,,1155792445,,,Tehama,Residential,Active,,Allison,True,2.0,,SingleFamilyResidence,10.0,,,1974,1,24065,1586.0,SN26043937,2,Corning,,,3,2026-02-27,-122.137495,,,,2026-02-27,,,39.980575,575000.0,CA,,,True,1,,One,Gabski,,,10.0,3,False,2.0,Corning Union,96021,,0.0,435600.0,,24065 Maria Road
5000.0,1155791565,,,Yuyao,Chen,33.702884,-117.72628,183 Bright Poppy,ResidentialLease,2019.0,5000.0,0,Keller Williams Realty Irvine,,,Yuyao Chen,,,,,,,,,1155791565,PS - Portola Springs,,Orange,ResidentialLease,Active,,Yuyao,True,2.0,,Condominium,0.4022,Paloma (PALO),,2015,0,183,2019.0,OC26064023,3,Irvine,,,4,2026-02-19,-117.72628,,,,2026-02-19,,,33.702884,5000.0,CA,,,False,2,,Two,Chen,,,17519.0,1,False,2.0,Irvine Unified,92618,,,17519.0,,183 Bright Poppy
8500.0,1155791270,,,Jake,Lazere,34.122192,-118.170829,906 Adelante Avenue,ResidentialLease,1530.0,8500.0,0,COMPASS,,COMPASS,Jake Lazere,Jennifer,Parker-Stanton,,,,,,,1155791270,632 - Highland Park,,Los Angeles,ResidentialLease,Active,,Jake,True,2.0,,SingleFamilyResidence,0.1377,Not Applicable,,1960,0,906,1530.0,P1-26411,2,Los Angeles,,,3,2026-02-02,-118.170829,,,,2026-02-02,,,34.122192,8500.0,CA,,,True,1,,One,Lazere,,,6000.0,,,2.0,,90042,,0.0,6000.0,,906 Adelante Avenue
849888.0,1155790702,,,Roger,Beltran,33.906884,-118.021274,14627 Calpella St,Residential,1418.0,875000.0,1,Century 21 Allstars,,,Roger Beltran,,,,,,,,,1155790702,M3 - La Mirada,,Los Angeles,Residential,Active,,Roger,True,2.0,,SingleFamilyResidence,0.1609,,,1956,1,14627,1418.0,DW26043609,2,La Mirada,,,3,2026-02-27,-118.021274,,,,2026-02-27,,,33.906884,875000.0,CA,,,True,1,,One,Beltran,,,7008.0,3,False,2.0,Norwalk - La Mirada,90638,,0.0,7008.0,,14627 Calpella St
2325.0,1155790588,,,Daniel,Withers,34.141891,-118.262966,447 W Elk Avenue,ResidentialLease,12704.0,2325.0,25,Matthews Real Estate Investment Services,,,Daniel Withers,,,,,,,,,1155790588,628 - Glendale-South of 134 Fwy,,Los Angeles,ResidentialLease,Active,,Daniel,,16.0,,Condominium,0.2871,,,1964,25,447,12704.0,26656077,25,Glendale,,12704.0,24,2026-02-27,-118.262966,,,,2026-02-27,,,34.141891,2325.0,CA,,,,,,MultiSplit,Withers,,50x125,12504.0,,False,,,91204,,,12504.0,,447 W Elk Avenue
